   0.0326       0.055           15.14           99              0.000   0.000
   0.09788      0.0555          15.144          99              0.000   0.000
   0.16313      0.0555          15.144          70              0.000   0.000
   0.19576      0.0685          15.144          55              0.000   0.000
   0.21207      0.0767          15.144          50              0.000   0.000
   0.22512      0.0786          15.144          45              0.000   0.000
   0.25449      0.0772          14.109          41              0.000   0.000
   0.30343      0.0747          12.495          36              0.000   0.000
   0.35237      0.0721          11.009          32              0.000   0.000
   0.40131      0.0693          9.639           28              0.000   0.000
   0.45024      0.0664          8.375           25              0.000   0.000
   0.50408      0.0631          7.094           23              0.000   0.000
   0.55302      0.0599          6.019           21              0.000   0.000
   0.60196      0.0565          5.021           20              0.000   0.000
   0.65090      0.0530          4.093           19              0.000   0.000
   0.70473      0.0490          3.145           18              0.000   0.000
   0.75367      0.0452          2.343           18              0.000   0.000
   0.80261      0.0412          1.593           18              0.000   0.000
   0.85155      0.0371          0.889           18              0.000   0.000
   0.90049      0.0328          0.226           18              0.000   0.000
   0.95106      0.0255          0.016           18              0.000   0.000
   0.97553      0.0188          0.173           18              0.000   0.000
   1.00001      0.0008          0.321           18              0.000   0.000
